SP,noSP,sub
152.89937,112.7428,40.15657
106.702934,51.445137,55.257797
266.87283,206.34236,60.53047
110.17614,68.38992,41.78622
95.51129,57.76174,37.74955
200.77878,142.98767,57.79111
97.18661,75.64953,21.53708
161.90724,104.65785,57.24939
236.87183,157.79138,79.08045
87.33133,56.498154,30.833176
37.423176,22.617878,14.805298
154.14929,100.789246,53.360044
154.26906,137.06363,17.20543
119.94473,77.85013,42.0946
289.30118,227.82008,61.4811
162.01122,110.58495,51.42627
127.083664,70.12231,56.961354
182.80031,110.203316,72.596994
187.81998,131.89098,55.929
239.44083,169.15927,70.28156
140.89851,102.957275,37.941235
89.69327,44.36643,45.32684
114.77944,66.17313,48.60631
113.75507,57.881046,55.874024
147.65236,102.19555,45.45681
144.64748,78.24321,66.40427
163.47362,105.50358,57.97004
257.4313,184.64697,72.78433
158.44945,108.92213,49.52732
146.06305,134.72356,11.33949
116.69461,69.263954,47.430656
137.16116,92.13123,45.02993
242.85295,194.4404,48.41255
188.12903,164.11382,24.01521
174.47792,102.83384,71.64408
280.0809,215.12074,64.96016
224.5522,158.4833,66.0689
157.56119,97.05335,60.50784
228.69609,169.86275,58.83334
167.75464,111.4876,56.26704
164.41312,115.86428,48.54884
150.88834,98.710144,52.178196
133.94183,77.42199,56.51984
125.363716,67.9413,57.422416
150.59221,103.91356,46.67865
209.89003,163.1139,46.77613
321.03394,284.95923,36.07471
131.38737,84.883415,46.503955
111.717636,64.662994,47.054642
135.8466,78.26821,57.57839
209.25667,163.90999,45.34668
141.16025,76.23489,64.92536
122.20198,69.142876,53.059104
156.68118,123.78094,32.90024
111.739044,65.85803,45.881014
175.56,109.66581,65.89419
239.9724,151.34825,88.62415
447.7912,427.1877,20.6035
131.36351,72.40482,58.95869
117.92965,63.80016,54.12949
73.57064,39.63444,33.9362
120.077286,79.08164,40.995646
78.31439,39.28659,39.0278
242.82959,213.94363,28.88596
143.07597,112.817,30.25897
164.53294,120.50174,44.0312
143.84258,92.06371,51.77887
212.74857,151.69254,61.05603
167.15309,132.77498,34.37811
204.4569,150.98672,53.47018
144.97977,103.06764,41.91213
135.27806,69.83649,65.44157
206.70508,159.47406,47.23102
106.408714,61.703445,44.705269
137.60341,73.287476,64.315934
121.13767,75.850624,45.287046
112.229675,61.878433,50.351242
176.24715,130.38733,45.85982
142.5058,90.539764,51.966036
171.56422,119.182014,52.382206
149.0405,95.223274,53.817226
116.97621,85.32701,31.6492
352.0986,273.1335,78.9651
150.08401,100.52543,49.55858
147.2222,100.70923,46.51297
253.71031,179.1455,74.56481
265.03256,216.17154,48.86102
185.39565,160.9456,24.45005
160.53838,113.91997,46.61841
101.546104,61.199585,40.346519
124.09721,70.690994,53.406216
127.61816,75.33203,52.28613
100.80629,55.571693,45.234597
179.78601,124.29206,55.49395
179.47643,154.37206,25.10437
208.07516,140.48216,67.593
88.08572,45.294197,42.791523
165.12718,101.80549,63.32169
191.72495,150.54317,41.18178
158.21739,89.73456,68.48283
140.2364,104.13408,36.10232
151.74025,108.56597,43.17428
163.71623,99.14953,64.5667
105.08675,68.56828,36.51847
88.951614,51.36352,37.588094
117.74651,67.2617,50.48481
147.91055,89.16678,58.74377
163.77919,115.62181,48.15738
175.84273,119.6155,56.22723
122.36192,81.776405,40.585515
142.55737,90.22294,52.33443
163.72017,112.622925,51.097245
51.40894,40.221363,11.187577
209.77711,165.86244,43.91467
135.43774,91.24767,44.19007
110.277466,74.9929,35.284566
143.86209,81.307014,62.555076
161.86295,104.195946,57.667004
137.27716,82.21889,55.05827
118.94503,83.39416,35.55087
228.80807,170.00024,58.80783
178.50806,137.06224,41.44582
107.1976,64.32939,42.86821
298.2818,243.35733,54.92447
205.52917,162.22394,43.30523
106.84111,73.90178,32.93933
325.4799,256.24338,69.23652
118.85995,88.14175,30.7182
112.05455,66.88239,45.17216
160.627,104.59111,56.03589
124.16427,79.87664,44.28763
78.54014,39.945934,38.594206
118.19289,74.05724,44.13565
102.398186,73.05608,29.342106
139.25217,81.5798,57.67237
120.985794,83.33072,37.655074
126.998116,77.32404,49.674076
206.98701,145.06468,61.92233
282.3238,252.2864,30.0374
119.58502,59.845116,59.739904
132.04994,87.724434,44.325506
149.2566,84.86631,64.39029
196.94604,123.34454,73.6015
149.9167,119.9323,29.9844
165.87955,104.535675,61.343875
117.04885,65.804405,51.244445
232.04482,158.32368,73.72114
204.97842,150.17476,54.80366
104.836464,57.639297,47.197167
256.47986,187.3718,69.10806
211.4375,150.4863,60.9512
215.16621,142.87286,72.29335
187.77618,136.70741,51.06877
123.34441,68.21274,55.13167
191.09964,160.22678,30.87286
105.6355,65.57445,40.06105
99.597755,52.86474,46.733015
247.38983,172.18974,75.20009
131.10713,84.74973,46.3574
146.84286,118.261444,28.581416
141.23349,94.63049,46.603
219.75525,159.51747,60.23778
106.86667,59.577305,47.289365
75.931145,44.48763,31.443515
246.33096,166.67891,79.65205
122.89564,55.327843,67.567797
161.97208,105.114815,56.857265
155.25957,112.721,42.53857
134.15112,84.11826,50.03286
144.51567,131.66284,12.85283
312.56396,253.42867,59.13529
85.91071,44.665386,41.245324
70.37641,60.215855,10.160555
214.8528,154.9372,59.9156
100.48987,61.89729,38.59258
176.65132,123.07314,53.57818
165.68434,106.65206,59.03228
143.57968,84.29589,59.28379
115.13466,52.020782,63.113878
207.90665,157.49895,50.4077
170.61868,114.388885,56.229795
287.87988,243.0198,44.86008
145.77003,87.876434,57.893596
173.74599,144.949,28.79699
207.25156,164.7954,42.45616
161.488,110.36796,51.12004
149.45953,118.43531,31.02422
160.1314,102.50939,57.62201
104.51647,63.143726,41.372744
